query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p
88,6000,-0.09004013667502808,2.803835664985343e-12,-0.12958170398520572,6.927424026795818e-24
89,6000,-0.1713009909140932,9.676583552518755e-41,-0.3511197120671383,1.2569720473355674e-173
90,6000,-0.17789754215534526,7.497468754990797e-44,-0.48772370484571825,0.0
91,6000,-0.19440902391931528,3.4843116595704015e-52,-0.45504088533105114,1.4883496824901795e-304
92,6000,-0.13937860888631898,2.0618485210553592e-27,-0.4467131604945369,2.868035273748497e-292
93,6000,-0.26584277693093966,1.3357025448707295e-97,-0.4743438737929353,0.0
94,6000,-0.22541813691601054,5.446521796500131e-70,-0.46069530786413937,4.30865688385e-313
95,6000,-0.13838317990804647,4.8363472080589594e-27,-0.3281904110649194,1.1622654293729649e-150
96,6000,-0.09238825490901319,7.488205795648458e-13,-0.3662644354691153,6.914260610353952e-190
97,6000,-0.10076834520023996,5.126168563550571e-15,-0.30798704514655834,5.247864833816344e-132
98,6000,-0.2981797015835224,1.8212047830127287e-123,-0.5127719116526779,0.0
99,6000,-0.07510368668293876,5.727645690098391e-09,-0.28532113214059296,9.149876199923177e-113
100,6000,-0.2252676992378282,6.752079554891471e-70,-0.4529473060434952,1.9651122544473365e-301
101,6000,-0.22244217858022758,3.710414677584987e-68,-0.41777922731384914,3.663108025428232e-252
102,6000,-0.1360118892675252,3.594354016010641e-26,-0.3221199857289538,6.652041457639893e-145
103,6000,-0.11926544714184327,1.8712938408948844e-20,-0.27084758871777037,2.2270457180307686e-101
104,6000,-0.22141333267770383,1.5740153269975894e-67,-0.453183128599255,8.769233488723515e-302
105,4140,-0.1134389496319731,2.471976282232584e-13,-0.4233661569279449,9.567683108819214e-180
106,4000,-0.20795409829051975,2.5201068566834663e-40,-0.3879293100457355,8.323764760192544e-144
107,4000,0.009549787355588491,0.54597224419122,0.02124959299571985,0.17905385192893697
108,4000,-0.27752451735860684,1.191025384916763e-71,-0.41240908882451593,4.337562345646313e-164
109,4000,-0.24861362374567877,2.062119387113782e-57,-0.481796143256466,1.2902761276456322e-231
110,4000,-0.2726008126153489,4.2429973046131534e-69,-0.3890678315786923,1.0340409205229664e-144
111,4000,-0.23919061364465588,3.7498734084467693e-53,-0.3756522672741742,2.897519807188746e-134
112,4000,-0.13545089879043798,7.720917573782273e-18,-0.34025472644888866,5.611364553375298e-109
113,4000,-0.10741191598967645,9.698013727177004e-12,-0.3397764629489657,1.1720349035841948e-108
114,4000,-0.2779980828718243,6.725127899522803e-72,-0.42796993157971075,6.804535948188386e-178
115,4000,-0.1318863594046891,5.5118129096152437e-17,-0.2921719633020662,1.4760410982262436e-79
116,4000,-0.15025811391361468,1.24209632803444e-21,-0.3867570424718849,7.066499206760164e-143
117,4000,-0.25014253471858405,4.034192856633336e-58,-0.390789429683635,4.345526172261762e-146
118,4000,-0.2806247088408825,2.7670355140782923e-73,-0.3912399765848733,1.8899416294150809e-146
119,4000,-0.11953408203446779,3.32886123241368e-14,-0.27081596935863134,3.4646657269773263e-68
120,4000,-0.15622158893833707,2.836032960220198e-23,-0.46552316434375285,2.40927792341689e-214
121,4000,-0.14243649614005063,1.4057095789833725e-19,-0.42125067440438607,7.641020203603802e-172
122,4000,-0.07824247623625334,7.250212725804083e-07,-0.43822647290910527,2.1308114050219298e-187
123,4000,-0.24566678691819435,4.636985827682817e-56,-0.43021570451838503,6.0221479951940295e-180
124,4000,-0.324795007263219,6.390538061971417e-99,-0.4727140851787556,7.329485930568963e-222
125,4000,-0.24107189931844789,5.473398928208607e-54,-0.42201838318436113,1.5805707778709853e-172
126,4000,-0.1830084020089314,1.824211148207574e-31,-0.41472730635190047,4.2332462982595237e-166
127,4000,-0.12643058836263277,1.007861735235584e-15,-0.2882447419944161,2.1668874805755962e-77
128,4000,-0.16611132212662014,3.8474885008594765e-26,-0.4274501397607786,2.021940540569087e-177
129,4000,-0.1300264314635283,1.5051720799012519e-16,-0.2428440048062408,8.796723532946665e-55
130,4000,-0.24952880706052807,7.776230139884588e-58,-0.5023497424016288,8.251427843120056e-255
131,4000,-0.29417833031203267,1.1188605098390308e-80,-0.44988698862443177,1.3116390713606993e-198
132,4000,-0.2004565024872427,1.553370445650204e-37,-0.45867407624178197,2.3759888107164086e-207
133,4000,-0.15089948523463909,8.332329283706891e-22,-0.3063074614307566,1.20625882063763e-87
134,4000,-0.29969170758002694,8.38161299088693e-84,-0.47489853875621874,3.513642941390394e-224
135,4000,-0.32117006437512857,1.2023174072643375e-96,-0.537826103581467,8.783212113479418e-299
136,4000,-0.19684444453899894,3.1342235013082254e-36,-0.34474526182563225,5.224289852826423e-112
137,4000,-0.16618512539740554,3.656724309337571e-26,-0.4266025034910945,1.1892446799199435e-176
138,4000,-0.18992343688642227,8.427239874408967e-34,-0.37060556846327797,1.846465745341264e-130
139,4000,-0.21715657522726334,6.694927693201936e-44,-0.3872358068003937,2.953235592126188e-143
140,4000,-0.1886698740338334,2.2690982233304633e-33,-0.4286764515068505,1.54378803766562e-178
141,4000,-0.16409707201313348,1.5275440531022064e-25,-0.3541125602754801,1.7080308679233007e-118
142,4000,-0.162301089730598,5.146712787766047e-25,-0.39046787712646547,7.866182097259513e-146
143,4000,-0.11235304914217349,1.0319087044227338e-12,-0.26809848016890514,8.221721318838581e-67
144,4000,-0.10246001371535865,8.291516535952951e-11,-0.41595795370856337,3.571681605403593e-167
145,4000,-0.1183317478665862,6.003336760789552e-14,-0.32304278043012025,8.107603256288813e-98
146,4000,-0.15658584528868413,2.2403698387842426e-23,-0.4329436696473632,1.840254748658676e-182
147,4000,-0.2854688737286061,7.023756125250618e-76,-0.37921895347656065,5.397797215287625e-137
148,4000,-0.10363020184412901,5.038439966473805e-11,-0.41757247039995077,1.3717978286293911e-168
149,4000,-0.252682878446982,2.616012902416215e-59,-0.4719687578855507,4.493297923508327e-221
